Party,User,Hashtag
PP,Peicof_20,España
PP,EBarquilla,PPcontraPP
PP,falcarazfer,GoogleAlerts
PP,Cadiz_Noticias,Cadiz
PP,Cadiz_Noticias,Noticias
PP,renacuaja,PP
PP,Nihiljav,PP
PP,Nihiljav,VOX
PP,danimiranda_yo,socialmedia
PP,vitabbandera,Rajoy
PP,vitabbandera,PP
PP,EuropaPSC,canviemEuropa
PP,MedyTrans,PPcontraPP
PP,calajoss,PPcontraPP
PP,BDNsRanger,crispación
PP,JorgeHerreroxtv,ABC
PP,Andreoti_649,socialmedia
PP,CorrupcionZero,MarcaEspana
PP,tonicantona,eleccionsEuropeas
PP,tonicantona,unpaisnormalital
PP,mimma4170,somos15M
PP,mimma4170,SiSePuede
PP,mimma4170,elpoderdelagente
PP,Andreoti_649,tróspido
PP,Andreoti_649,socialmedia
PP,elmariete,socialmedia
PP,quimht,SalDelBipartidismo
PP,quimht,bipartidismo
PP,quimht,PP
PP,quimht,PSOE
PP,quimht,PPSOE
PP,quimht,Elecciones
PP,quimht,Voto
PP,carlos99arnau,TS
PP,carlos99arnau,PP
PP,XavierSanfeliu,PP
PP,XavierSanfeliu,PSOE
PP,JRBNIMROD,GoogleAlerts
PP,Zoraizori,crispación
PP,formacion_pp,concluUNIV
PP,formacion_pp,ColectivosDelTerrorQuemanUFT
PP,janedxe,PPcontraPP
PP,jlprieto,socialmedia
PP,KatatumKatumgue,GoogleAlerts
PP,falcarazfer,GoogleAlerts
PP,mjdazaromero,Españahoy
PP,mjdazaromero,Barómetro
PP,blancobello,socialmedia
PP,Diime_isaac,IsaacAcosta
PP,Bryan_x9,Bonii_Freshz
PP,Diime_isaac,IsaacAcosta
PP,Diime_isaac,IsaacAcosta
PP,sabliyin,Titular
PP,alex_ferrer9,PPcontraPP
PP,Jugarlar,LeyGC
PP,Diime_isaac,IsaacAcosta
PP,OliiverDoOW,oliiverdoow
PP,Diime_isaac,IsaacAcosta
PP,feripekun,CIS
PP,Diime_isaac,IsaacAcosta
PP,Diime_isaac,IsaacAcosta
PP,JoseV7S,SalDelBipartidismo
PP,JoseV7S,bipartidismo
PP,JoseV7S,PP
PP,JoseV7S,PSOE
PP,JoseV7S,PPSOE
PP,JoseV7S,Elecciones
PP,JoseV7S,Voto
PP,Diime_isaac,IsaacAcosta
PP,BorjaMoure,MeMeo
PP,BorjaMoure,SoisLaPolla
PP,Diime_isaac,IsaacAcosta
PP,Irene_Adler_Mu,PP
PP,Irene_Adler_Mu,PSOE
PP,AlternativaGZ,EspazoLuzes
PP,Lewisangello,PPcontraPP
